id,branch_id,designation_id,name,code,fathers_name,mothers_name,spouse_name,permanent_address,present_address,last_achieved_degree,date_of_birth,date_of_joining,date_of_discontinue,secuirity_money,starting_salary,current_salary,national_id,smart_id,blood_group,gender,mobile_no,email,status,employee_picture,refence_info_1,refence_info_2,attached_documents,is_field_officer,is_manager,id_sequence_no,sync_date,field_officer_pin,nominee_info
338,30,2,George Kutch,9227,Miss Venetta Mraz,Miss Venetta Mraz,,"5535 Aaron Crossing, Wymanchester, MO 47898-5101","5535 Aaron Crossing, Wymanchester, MO 47898-5101",1,2002-08-14,2021-07-13,,,37000,,,7443803313,0,F,01597646181,,1,,,,,1,0,,,,
339,30,7,Elmo Crona,1610,Season Mante,Season Mante,,"Apt. 621 43634 Medhurst Via, Fritschfort, DE 81480","Apt. 621 43634 Medhurst Via, Fritschfort, DE 81480",1,2002-10-04,2021-07-13,,,50000,,,3010278709,0,M,01562107786,,1,,,,,1,0,,,,
340,30,15,Perry Blanda,4817,Sarita Marks,Sarita Marks,,"Suite 998 8596 Berge Villages, North Zetta, WI 615","Suite 998 8596 Berge Villages, North Zetta, WI 615",29,1993-06-15,2021-07-13,,,35800,,,3612816085,0,F,01567235995,,1,,,,,1,0,,,,
341,30,13,Jake Cormier,5381,Arlen Walter,Arlen Walter,,"2731 Tesha Ramp, Tannerbury, SD 03958-7511","2731 Tesha Ramp, Tannerbury, SD 03958-7511",2,1980-09-07,2021-07-13,,,37000,,,8878345816,0,F,01548731644,,1,,,,,1,0,,,,
342,30,3,Lachelle Swift,8014,Pete Ratke,Pete Ratke,,"Suite 232 49890 Rodger Trail, Port Danielburgh, IN","Suite 232 49890 Rodger Trail, Port Danielburgh, IN",23,2000-06-16,2021-07-13,,,24000,,,8558477361,0,M,01540438000,,1,,,,,1,0,,,,
343,30,13,Jack Borer Jr.,0806,Patria Beahan,Patria Beahan,,"Suite 269 9470 Sarai Squares, East Whitleyville, N","Suite 269 9470 Sarai Squares, East Whitleyville, N",13,2000-01-23,2021-07-13,,,37000,,,6048301021,0,F,01563534640,,1,,,,,1,0,,,,
344,30,8,Mr. Nickolas Cole,2316,Larissa Greenholt DDS,Larissa Greenholt DDS,,"93039 Gutkowski Estates, Kirlintown, TX 55964-0035","93039 Gutkowski Estates, Kirlintown, TX 55964-0035",16,1981-05-06,2021-07-13,,,25000,,,6816810045,0,F,01551295960,,1,,,,,1,0,,,,
345,30,7,Marilu Johnson PhD,5762,Craig Auer,Craig Auer,,"48443 Jared Burg, East Dean, OR 77312","48443 Jared Burg, East Dean, OR 77312",8,1982-06-05,2021-07-13,,,50000,,,5122668856,0,F,01503039508,,1,,,,,1,0,,,,
346,30,4,Jay DuBuque,2111,Tonda Graham,Tonda Graham,,"321 Kulas Pines, Hegmannberg, PA 46166-5997","321 Kulas Pines, Hegmannberg, PA 46166-5997",13,1993-04-01,2021-07-13,,,17300,,,5026803672,0,M,01503027557,,1,,,,,1,0,,,,
347,32,3,field officer -1,10001,test,test,,fast,fast,6,2005-03-10,2023-11-01,,,24000,,,2525252525,0,M,01525256566,,1,,,,,1,0,,,,
348,32,3,employee 2,sfdsf,sdfsdf,sdfsf,,sdfsdfs,sdfsf,11,2001-03-08,2023-11-08,,,24000,,,2525258985,0,F,01858585899,,1,,,,,1,0,,,,
349,34,3,Test_emp,5841,fsdgfr,dree,dsfd,shimultola,shimultola,5,1980-05-05,2023-10-11,,,24000,,,1478523695,0,M,01787459632,,1,,,,,1,0,,,,
350,34,4,Test Employee,0122,Test,Test,,Test,Test,6,2002-04-28,2023-01-30,,,17300,,,5236985251,AB-,M,01736985214,,1,,,,,1,0,,,,
